# gap_worklist.txt - trace-driven-coverage gap-set (GENERATED)
#
# Regenerate: scripts/pcsx-redux/build_gap_worklist.py
# Definition: dumped AND NOT documented AND NOT ignored (port catalog).
# Each row = a not-yet-understood function entry to arm an exec BP on.
#
# A hit in a segment's trace.csv = this function ran in the opening =
# a documentation target. SCUS addresses (0x800xxxxx) are unambiguous;
# overlay addresses (0x801c..0x8020) are VA-aliased - attribute them with
# the trace CSV's first_mode column + the dump_stem here.
#
# Counts: 762 total (161 scus, 601 overlay).
#
# Columns: <0x-addr>  <dump_stem>   # bucket=<b> refs=<n>
0x801cd728  overlay_0896_801cd728   # bucket=overlay refs=0
0x801cd844  overlay_0896_801cd844   # bucket=overlay refs=0
0x801cd8a4  overlay_0897_xxx_dat_801cd8a4   # bucket=overlay refs=1
0x801cd998  overlay_0896_801cd998   # bucket=overlay refs=5
0x801cd9c0  overlay_0896_801cd9c0   # bucket=overlay refs=0
0x801cdafc  overlay_0896_801cdafc   # bucket=overlay refs=0
0x801cdb1c  overlay_0896_801cdb1c   # bucket=overlay refs=0
0x801cdb48  overlay_0896_801cdb48   # bucket=overlay refs=0
0x801ce000  data_801ce000_overlay_first_bytes_801CE000   # bucket=overlay refs=0
0x801ce8ec  overlay_0896_801ce8ec   # bucket=overlay refs=1
0x801ce97c  overlay_debug_menu_801ce97c   # bucket=overlay refs=1
0x801ce9c4  overlay_world_map_top_801ce9c4   # bucket=overlay refs=0
0x801cea3c  overlay_0897_xxx_dat_801cea3c   # bucket=overlay refs=1
0x801ceaf8  overlay_0897_xxx_dat_801ceaf8   # bucket=overlay refs=1
0x801ceb84  overlay_baka_fighter_801ceb84   # bucket=overlay refs=10
0x801cf1b0  overlay_field_battle_intro_801cf1b0   # bucket=overlay refs=4
0x801cf338  overlay_debug_menu_801cf338   # bucket=overlay refs=1
0x801cf388  overlay_baka_fighter_801cf388   # bucket=overlay refs=9
0x801cf408  overlay_0897_xxx_dat_801cf408   # bucket=overlay refs=1
0x801cf56c  overlay_str_fmv_0x801CF56C   # bucket=overlay refs=4
0x801cf5bc  overlay_field_battle_intro_801cf5bc   # bucket=overlay refs=1
0x801cf5e8  overlay_0897_xxx_dat_801cf5e8   # bucket=overlay refs=1
0x801cf678  overlay_0897_xxx_dat_801cf678   # bucket=overlay refs=1
0x801cf740  overlay_str_fmv_0x801CF740   # bucket=overlay refs=2
0x801cf760  overlay_menu_801cf760   # bucket=overlay refs=8
0x801cf88c  overlay_save_ui_saving_801cf88c   # bucket=overlay refs=8
0x801cf8ac  overlay_cutscene_dialogue_801cf8ac   # bucket=overlay refs=7
0x801cf8b0  overlay_str_fmv_0x801CF8B0   # bucket=overlay refs=4
0x801cf988  overlay_str_fmv_0x801CF988   # bucket=overlay refs=4
0x801cfa14  overlay_str_fmv_0x801CFA14   # bucket=overlay refs=4
0x801cfad4  overlay_str_fmv_0x801CFAD4   # bucket=overlay refs=4
0x801cfb94  overlay_str_fmv_0x801CFB94   # bucket=overlay refs=5
0x801cfbb4  overlay_field_battle_intro_801cfbb4   # bucket=overlay refs=1
0x801cfbe4  overlay_menu_801cfbe4   # bucket=overlay refs=1
0x801cfc18  overlay_str_fmv_0x801CFC18   # bucket=overlay refs=2
0x801cfccc  overlay_slot_machine_801cfccc   # bucket=overlay refs=0
0x801cfcdc  overlay_str_fmv_0x801CFCDC   # bucket=overlay refs=2
0x801cfce4  overlay_0897_801cfce4   # bucket=overlay refs=7
0x801cfd68  overlay_save_ui_select_801cfd68   # bucket=overlay refs=5
0x801cfd84  overlay_str_fmv_0x801CFD84   # bucket=overlay refs=5
0x801cfe00  overlay_debug_menu_801cfe00   # bucket=overlay refs=6
0x801cfe20  overlay_str_fmv_0x801CFE20   # bucket=overlay refs=2
0x801cfe5c  overlay_str_fmv_0x801CFE5C   # bucket=overlay refs=2
0x801cfe98  overlay_str_fmv_0x801CFE98   # bucket=overlay refs=2
0x801cfebc  overlay_str_fmv_0x801CFEBC   # bucket=overlay refs=6
0x801cfee0  overlay_debug_menu_801cfee0   # bucket=overlay refs=3
0x801cffdc  overlay_debug_menu_801cffdc   # bucket=overlay refs=8
0x801d0070  overlay_str_fmv_0x801D0070   # bucket=overlay refs=4
0x801d0100  overlay_debug_menu_801d0100   # bucket=overlay refs=6
0x801d0148  overlay_menu_801d0148   # bucket=overlay refs=3
0x801d0164  overlay_field_battle_intro_801d0164   # bucket=overlay refs=1
0x801d0190  overlay_dance_801d0190   # bucket=overlay refs=2
0x801d0198  overlay_debug_menu_801d0198   # bucket=overlay refs=5
0x801d0230  overlay_debug_menu_801d0230   # bucket=overlay refs=6
0x801d0248  overlay_str_fmv_0x801D0248   # bucket=overlay refs=3
0x801d0290  overlay_0897_801d0290   # bucket=overlay refs=7
0x801d02a8  overlay_0897_801d02a8   # bucket=overlay refs=3
0x801d030c  overlay_menu_801d030c   # bucket=overlay refs=3
0x801d0338  overlay_0896_801d0338   # bucket=overlay refs=2
0x801d0378  overlay_str_fmv_0x801D0378   # bucket=overlay refs=2
0x801d03a4  overlay_0897_801d03a4   # bucket=overlay refs=2
0x801d03b0  overlay_fishing_801d03b0   # bucket=overlay refs=10
0x801d0520  overlay_save_ui_saving_801d0520   # bucket=overlay refs=6
0x801d0554  overlay_slot_machine_801d0554   # bucket=overlay refs=2
0x801d0604  overlay_str_fmv_0x801D0604   # bucket=overlay refs=2
0x801d069c  overlay_slot_machine_801d069c   # bucket=overlay refs=2
0x801d06e0  overlay_0897_801d06e0   # bucket=overlay refs=7
0x801d070c  overlay_str_fmv_0x801D070C   # bucket=overlay refs=2
0x801d0750  overlay_dance_801d0750   # bucket=overlay refs=1
0x801d079c  overlay_slot_machine_801d079c   # bucket=overlay refs=1
0x801d08e4  overlay_slot_machine_801d08e4   # bucket=overlay refs=6
0x801d095c  overlay_cutscene_mapview_801d095c   # bucket=overlay refs=17
0x801d0abc  overlay_0897_801d0abc   # bucket=overlay refs=2
0x801d0d18  overlay_menu_801d0d18   # bucket=overlay refs=3
0x801d0d24  overlay_field_battle_intro_801d0d24   # bucket=overlay refs=2
0x801d0d38  overlay_0897_801d0d38   # bucket=overlay refs=31
0x801d0e1c  overlay_slot_machine_801d0e1c   # bucket=overlay refs=4
0x801d0e54  overlay_field_battle_intro_801d0e54   # bucket=overlay refs=2
0x801d0e78  overlay_0897_xxx_dat_801d0e78   # bucket=overlay refs=3
0x801d0eec  overlay_0897_xxx_dat_801d0eec   # bucket=overlay refs=3
0x801d0f5c  overlay_fishing_801d0f5c   # bucket=overlay refs=3
0x801d1290  overlay_shop_save_801d1290   # bucket=overlay refs=5
0x801d1314  overlay_0897_801d1314   # bucket=overlay refs=5
0x801d1358  overlay_dance_801d1358   # bucket=overlay refs=1
0x801d13c4  overlay_slot_machine_801d13c4   # bucket=overlay refs=4
0x801d1564  overlay_field_battle_intro_801d1564   # bucket=overlay refs=1
0x801d1694  overlay_0897_xxx_dat_801d1694   # bucket=overlay refs=2
0x801d16fc  overlay_0897_door_801d16fc   # bucket=overlay refs=0
0x801d1744  overlay_cutscene_dialogue_801d1744   # bucket=overlay refs=2
0x801d1854  overlay_baka_fighter_801d1854   # bucket=overlay refs=2
0x801d1880  overlay_0897_door_raw_801d1600_801d1880   # bucket=overlay refs=0
0x801d1888  overlay_field_battle_intro_801d1888   # bucket=overlay refs=2
0x801d1a20  overlay_field_battle_intro_801d1a20   # bucket=overlay refs=2
0x801d1a90  overlay_fishing_801d1a90   # bucket=overlay refs=4
0x801d1ad4  overlay_0897_801d1ad4   # bucket=overlay refs=0
0x801d1b20  overlay_shop_save_801d1b20   # bucket=overlay refs=4
0x801d1c5c  overlay_fishing_801d1c5c   # bucket=overlay refs=2
0x801d1cd4  overlay_field_battle_intro_801d1cd4   # bucket=overlay refs=1
